tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13089023803,"Census Tract 238.03, DeKalb County, Georgia",6029.0,40935.0,80300.0,790.0,1897,1563,334,36.0,180.0,5751.0,6013.0,971.0,0.161483452519541,2000,3.191939000972083,0.0,0.0,0.0,0.029855697462265716,0.9538895339193896,0.005971139492453143,0.17606747496046388
13121000100,"Census Tract 1, Fulton County, Georgia",4153.0,97741.0,376200.0,872.0,1974,1504,470,93.0,3875.0,88.0,4153.0,127.0,0.030580303395136,2000,0.949509380331863,0.0,1.0,1.0,0.9330604382374187,0.021189501565133637,0.02239345051769805,0.23809523809523808
13121000400,"Census Tract 4, Fulton County, Georgia",1670.0,84502.0,782100.0,756.0,1028,668,360,31.0,1491.0,114.0,1641.0,88.0,0.0536258379037172,2000,0.406106621123749,1.0,1.0,1.0,0.8928143712574851,0.06826347305389222,0.018562874251497007,0.35019455252918286
13121000700,"Census Tract 7, Fulton County, Georgia",3551.0,35500.0,130600.0,810.0,272,165,107,72.0,498.0,2946.0,687.0,170.0,0.24745269286754,2000,0.23825928995388918,1.0,1.0,1.0,0.14024218529991553,0.8296254576175726,0.020275978597578147,0.39338235294117646
13121001400,"Census Tract 14, Fulton County, Georgia",2130.0,46129.0,322100.0,867.0,1378,365,1013,55.0,1748.0,245.0,2141.0,167.0,0.0780009341429238,2000,0.17909867945821217,1.0,1.0,1.0,0.8206572769953052,0.11502347417840375,0.025821596244131457,0.7351233671988389
13121001600,"Census Tract 16, Fulton County, Georgia",1390.0,42438.0,301400.0,697.0,844,192,652,33.0,1111.0,182.0,1349.0,109.0,0.0808005930318754,2000,0.2666557969556888,1.0,1.0,1.0,0.7992805755395683,0.13093525179856116,0.023741007194244605,0.7725118483412322
13121002100,"Census Tract 21, Fulton County, Georgia",1573.0,14363.0,350000.0,514.0,752,54,698,38.0,317.0,1058.0,1604.0,699.0,0.435785536159601,2000,1.627922229455192,0.0,0.0,1.0,0.20152574698029244,0.6726001271455817,0.024157660521296885,0.9281914893617021
13121002300,"Census Tract 23, Fulton County, Georgia",2714.0,18582.0,61300.0,424.0,1071,286,785,28.0,31.0,2627.0,2714.0,948.0,0.3492999263080324,2000,0.24620234625153092,1.0,1.0,1.0,0.011422254974207811,0.9679439941046426,0.010316875460574797,0.7329598506069094
13121002400,"Census Tract 24, Fulton County, Georgia",2467.0,22113.0,57400.0,538.0,1004,479,525,12.0,23.0,2404.0,2442.0,742.0,0.3038493038493038,2000,0.012982328465568932,1.0,1.0,1.0,0.009323064450749898,0.9744629104175111,0.004864207539521687,0.5229083665338645
13121002500,"Census Tract 25, Fulton County, Georgia",1981.0,16949.0,51700.0,456.0,764,172,592,27.0,13.0,1923.0,1908.0,792.0,0.4150943396226415,2000,0.6144263360386205,0.0,1.0,1.0,0.006562342251388188,0.9707218576476527,0.013629480060575468,0.774869109947644
